name,sheet,cell,type,description
Ammonia_N_Content,Parameters,!$B$34,float,N content factor for ammonia
AmmoniumNitrate_N_Content,Parameters,!$B$36,float,N content factor for ammonium nitrate
AmmoniumSulfate_N_Content,Parameters,!$B$37,float,N content factor for ammonium sulfate
CaCO3_CO2_Content,Parameters,!$B$58,float,Limestone CO2 content factor
CaCO3_PercentAcidification,Parameters,!$B$59,float,Limestone acidification factor (%)
CO2_C_to_CO2,Parameters,!$B$45,float,Carbon factor of CO2
ConventionalAmmonia_CI,Intensities of Inputs,!$G$14,float,CI factor for conventional ammonia (final)
ConventionalAmmonia_CI_Intermediate,Intensities of Inputs,!$G$15,float,CI factor for conventional ammonia (intermediate)
ConventionalAmmoniumNitrate_CI,Intensities of Inputs,!$G$37,float,CI factor for conventional ammonium nitrate
ConventionalAmmoniumSulfate_CI,Intensities of Inputs,!$G$42,float,CI factor for conventional ammonium sulfate
ConventionalDAP_CI,Intensities of Inputs,!$G$66,float,CI factor for conventional DAP
ConventionalPotash_CI,Intensities of Inputs,!$G$73,float,CI factor for conventional potash
ConventionalLimestone_CI,Intensities of Inputs,!$G$83,float,CI factor for conventional limestone
ConventionalMAP_CI,Intensities of Inputs,!$G$58,float,CI factor for conventional MAP
ConventionalNitridAcid_CI,Intensities of Inputs,!$G$29,float,CI factor for conventional nitrid acid
ConventionalUAN_CI,Intensities of Inputs,!$G$50,float,CI factor for conventional UAN
ConventionalUrea_CI,Intensities of Inputs,!$G$23,float,CI factor for conventional urea
Corn_Biomass_N2O_Factor,Parameters,!$B$31,float,Biomass N2O factor for corn
Corn_Ninbiomass_ResidueFactor,Parameters,!$B$30,float,Ninbiomass residue factor for corn
coverCrop_N2O_Emissions,Parameters,!$B$122,float,Cover crop N2O emission factor
crop_Ammonia_gN_Bu,Inputs_DomesticCrops,!$M$22,float,Crop ammonia amount in g Nitrogen per bushel
crop_AmmoniumNitrate_gN_Bu,Inputs_DomesticCrops,!$M$24,float,Crop ammonium nitrate in g Nitrogen per bushel
crop_AmmoniumSulfate_gN_Bu,Inputs_DomesticCrops,!$M$25,float,Crop ammonium sulfate in g Nitrogen per bushel
crop_DAP_gN_Bu,Inputs_DomesticCrops,!$M$28,float,Crop ammonia in g Nitrogen per bushel
crop_MAP_gN_Bu,Inputs_DomesticCrops,!$M$27,float,Crop ammonia in g Nitrogen per bushel
crop_Total_N_gN_Bu,Inputs_DomesticCrops,!$M$29,float,Crop ammonia in g Nitrogen per bushel
crop_UAN_gN_Bu,Inputs_DomesticCrops,!$M$26,float,Crop ammonia in g Nitrogen per bushel
crop_Urea_gN_Bu,Inputs_DomesticCrops,!$M$23,float,Crop urea amount in g Nitrogen per bushel
DAP_N_Content,Parameters,!$B$40,float,N content factor for DAP
DAP_P2O5_Content,Parameters,!$B$50,float,P2O5 content factor for DAP
DAP_share_as_Nfert,Parameters,!$B$42,float,DAP share of N as N-fertilizer
Diesel_CI,Intensities of Inputs,!$D$88,float,CI factor for diesel
Electricity_CI,Intensities of Inputs,!$D$104,float,CI factor for electricity
