FIPS,STATE,NNC,NNR,NNN,NNA,NMC,NMR,NMN,NMA,CNC,CNR,CNN,CNA,CMC,CMR,CMN,CMA
1003,Alabama,-13.29,0.00,24.02,2.23,70.86,100.78,121.27,97.78,386.44,465.92,601.34,477.17,445.59,592.46,688.13,576.90
1009,Alabama,-17.00,0.00,25.94,2.00,105.92,136.76,180.68,139.31,414.86,556.23,602.30,530.52,516.70,662.83,746.80,644.78
1015,Alabama,-20.93,0.00,29.97,2.21,85.45,106.45,145.58,110.64,548.13,661.46,756.85,654.70,704.00,777.80,861.35,778.01
,,,,,,,,,,,,,,,,,
1031,Alabama,-15.58,0.00,24.48,1.90,10.90,47.46,164.54,66.10,422.57,551.20,630.62,536.59,486.26,568.55,694.11,576.68
1033,Alabama,-31.59,0.00,43.19,2.69,210.50,253.52,299.02,253.41,551.68,710.70,814.55,694.31,809.43,933.73,956.79,906.42
1035,Alabama,-15.67,0.00,17.18,0.29,89.52,96.98,84.92,92.18,431.26,557.44,613.36,537.98,501.57,635.47,733.21,623.91
1039,Alabama,-17.93,0.00,21.96,0.81,-20.95,8.51,168.14,39.30,417.71,519.04,598.06,511.42,496.80,570.25,680.21,576.99
1043,Alabama,-20.22,0.00,31.02,2.42,129.41,163.71,204.50,164.60,437.62,520.70,603.86,518.71,519.26,671.67,725.59,644.84
1047,Alabama,-18.54,0.00,28.33,2.32,89.32,111.35,140.21,112.71,496.22,641.06,706.00,618.96,615.99,716.67,816.97,714.08
1053,Alabama,-16.92,0.00,23.74,1.30,74.81,93.68,120.33,95.01,398.79,499.27,611.87,499.73,486.11,613.36,693.19,598.99
1055,Alabama,-20.14,0.00,28.01,1.74,139.45,172.55,199.80,170.51,439.30,548.43,635.32,540.70,377.11,503.13,677.99,512.23
1061,Alabama,-16.54,0.00,25.05,1.77,160.58,161.89,263.84,185.61,430.98,541.68,641.97,536.59,509.03,562.12,681.79,576.23
1065,Alabama,-16.59,0.00,23.50,1.96,105.18,126.80,153.72,128.07,533.17,720.46,736.12,675.98,697.13,780.70,892.54,785.39
1067,Alabama,-14.52,0.00,22.89,1.78,18.61,40.32,55.41,38.34,462.18,494.92,677.52,529.37,496.74,665.25,693.29,628.03
1069,Alabama,-16.14,0.00,25.72,1.94,85.06,99.17,133.68,103.54,457.95,505.14,700.55,538.86,347.52,499.52,592.47,482.20
1077,Alabama,-27.38,0.00,37.81,2.51,36.43,66.43,108.11,69.08,545.06,690.76,791.98,677.19,626.93,755.57,809.08,734.80
1079,Alabama,-29.30,0.00,40.49,2.62,394.80,440.89,510.36,445.39,518.02,749.00,766.79,693.72,909.32,948.64,980.55,944.95
1083,Alabama,-31.24,0.00,43.31,2.83,50.75,85.00,133.07,88.05,543.36,695.26,807.28,682.68,640.08,772.34,854.51,757.46
1089,Alabama,-29.46,0.00,40.13,2.45,109.82,149.05,200.69,151.51,497.06,648.80,747.23,633.02,657.05,784.10,828.33,761.38
1093,Alabama,-18.25,0.00,26.01,1.97,121.99,139.39,170.83,142.62,439.17,581.29,631.89,556.69,437.20,565.79,656.98,554.35
1095,Alabama,-17.09,0.00,26.18,2.06,137.77,169.43,201.19,168.83,441.42,536.04,612.78,529.57,337.15,508.93,655.52,499.66
1099,Alabama,-21.84,0.00,26.34,0.77,88.17,103.34,135.74,107.07,453.92,604.04,633.81,572.03,506.31,649.08,728.92,630.82
1103,Alabama,-22.56,0.00,31.79,2.17,235.01,269.03,307.37,269.38,479.75,618.78,673.92,595.90,719.59,885.06,924.71,851.29
1105,Alabama,-18.13,0.00,25.39,1.76,107.75,120.87,150.35,124.66,483.02,627.04,700.59,607.27,603.39,725.25,795.50,710.13
1109,Alabama,-19.30,0.00,27.54,1.63,37.93,-7.40,35.19,14.22,426.88,501.94,612.27,508.32,361.99,550.91,648.01,525.18
1119,Alabama,-15.24,0.00,22.81,2.13,54.53,74.71,100.88,76.25,533.88,725.25,722.59,675.34,657.60,826.09,875.81,794.32
1121,Alabama,-24.48,0.00,35.18,2.39,69.70,104.39,141.87,104.56,501.33,624.29,706.44,611.82,565.43,700.12,781.38,684.33
17001,Illinois,-61.27,0.00,78.88,-12.55,92.69,157.05,238.58,143.75,430.00,606.89,724.52,561.14,607.79,762.11,897.82,725.05
17003,Illinois,-49.06,0.00,66.80,-9.74,142.57,195.43,261.05,184.39,521.86,680.73,790.35,639.98,718.01,842.42,952.46,812.61
17005,Illinois,-53.74,0.00,72.36,-10.74,365.25,420.58,502.71,410.18,510.48,649.46,764.45,615.46,911.96,996.36,1144.64,982.49
17007,Illinois,-77.60,0.00,94.95,-16.33,315.83,405.36,512.38,386.30,152.31,345.06,529.65,300.08,546.58,727.01,947.67,689.04
17009,Illinois,-61.41,0.00,78.93,-12.59,508.08,574.82,631.98,558.66,419.47,599.74,717.54,552.93,892.93,1004.50,1204.71,986.52
17011,Illinois,-76.51,0.00,94.91,-15.99,-6.79,72.13,168.97,55.55,205.99,406.06,579.83,357.83,272.74,480.83,655.42,430.14
17013,Illinois,-63.52,0.00,83.51,-12.86,668.70,676.59,620.92,669.29,496.90,667.56,787.26,623.96,1062.15,1192.12,1255.40,1156.51
17015,Illinois,-82.58,0.00,98.69,-17.58,165.86,255.61,358.28,236.11,120.18,316.80,500.68,270.53,348.00,576.59,765.48,520.66
