FIPS,STATE,NNC,NNR,NNN,NNA,NMC,NMR,NMN,NMA,CNC,CNR,CNN,CNA,CMC,CMR,CMN,CMA
1003,Alabama,4.334169734,0,24.95852767,11.45640791,11.79528373,25.64432147,45.70567507,32.81917135,435.205076,449.7485573,471.2802105,457.4868639,266.6824487,327.4717091,415.3961408,358.9066765
1009,Alabama,-7.14687452,0,26.90548788,10.96334906,48.59733061,70.52142594,98.39820367,80.17700278,340.9762958,387.6149706,411.2021614,392.4891727,259.3854497,522.4540614,577.4104279,515.6942515
1015,Alabama,-7.23597806,0,29.34427566,12.02265102,229.3835851,232.4046617,234.7251887,233.068079,494.0865434,507.5243081,537.8377319,519.244409,602.3219925,674.2637695,751.3241468,699.624766
1019,Alabama,-5.23299372,0,32.49431607,13.63940489,15.17867248,8.80006814,49.91344674,27.58255894,433.0254446,472.3388845,502.4607663,480.9389562,375.9035906,400.6809621,463.7071842,425.4198104
1031,Alabama,-3.366636,0,22.5095446,9.478638464,130.6949233,145.8714703,163.9338123,152.0137107,482.5410973,497.7780657,514.7608233,503.439665,459.1860939,543.4036092,625.9267428,569.7204832
1033,Alabama,-13.9355452,0,41.45412986,16.54848576,216.7660801,229.9967703,206.4854307,218.131326,483.769661,504.5026107,549.5663449,521.836879,634.3293553,698.5024513,789.4626482,730.8720073
1035,Alabama,-6.74404634,0,17.33925926,6.814456495,31.86637726,44.11431746,60.34027512,49.79465665,504.9661195,456.5406356,537.2300303,497.6162475,334.613901,428.4543843,421.0441537,414.1935721
1039,Alabama,-14.74743706,0,19.0438146,6.623103982,122.2743587,134.5094801,149.0280611,139.442395,489.6953759,506.6694647,525.7053663,513.0278431,435.1807478,516.0846206,586.2941171,537.3889992
1043,Alabama,-8.08141334,0,32.6960566,13.39368987,74.80871053,97.269946,126.6999245,107.5438001,359.1040316,414.7817023,440.7679237,419.6476702,282.7675776,553.6853223,611.0381947,547.0557781
1047,Alabama,-9.5396832,0,20.52233694,7.882676398,58.14044486,72.64892266,92.37231846,79.59815725,524.6293036,540.012866,562.9696717,548.2777381,534.8308243,671.2285343,698.3731217,667.1316733
1053,Alabama,-0.741612666,0,24.21150627,10.53318737,21.26665013,34.339109,51.94839433,40.52949348,413.1910755,416.7799748,444.9778095,428.7276621,254.8035681,309.7581905,368.5659651,329.1059299
1055,Alabama,-6.98571426,0,30.2859154,12.46505807,103.3148907,123.2614894,148.5514759,132.0144101,402.0082891,457.9197996,484.0662777,462.8286263,360.9895973,608.9324472,665.8987245,604.828986
1061,Alabama,0.812623333,0,23.42343407,10.3698648,123.7721739,136.5831926,151.7757165,141.7441572,419.3976522,435.0702537,452.6907733,440.9604895,372.6410482,456.1869057,534.5557968,480.7603575
1065,Alabama,-12.603252,0,24.2571306,9.161465868,67.5410562,83.3154522,105.7546007,91.30740091,526.1433124,515.2431184,593.9751962,551.0572995,580.4356645,705.5451893,735.9011183,704.1814106
1067,Alabama,-1.721517533,0,20.42768653,8.758469429,4.974069067,25.8027582,33.55460727,26.75920607,504.1190113,521.3400587,538.1791067,526.7058274,395.2485834,502.6789093,557.9162475,514.3034924
1069,Alabama,0.934236334,0,21.91849893,9.72400488,95.96096127,55.60584153,74.1387544,68.470063,551.0173429,569.9915859,412.1687769,498.5374966,423.0319354,479.8550765,414.0215292,444.3105712
1077,Alabama,-12.5133756,0,35.13843834,13.9450177,39.71880934,69.7071874,77.00066526,69.38786148,483.4946027,506.7343608,545.2695189,520.9107911,510.9934525,543.8871464,622.2777649,574.4131819
1079,Alabama,-13.6909912,0,35.13938146,13.80726095,233.0647334,239.2572043,245.9928066,241.4851604,443.5120415,464.4251043,504.4577314,479.5313813,570.0125413,842.7672345,863.5109015,819.8637979
1083,Alabama,-14.3057978,0,35.09317934,13.71485904,65.19038114,83.81228406,93.01065146,85.66216043,456.2173018,482.0798175,522.9068965,496.9538523,502.5134079,525.8103367,601.1138913,556.1082491
1089,Alabama,-14.03641374,0,35.73954706,14.02999056,94.543826,121.7619671,157.0322395,134.0394926,430.7528962,449.4581914,488.0600118,464.1958943,574.6394558,592.5723275,670.2586167,624.5447776
1093,Alabama,-5.0364924,0,28.05902994,11.71695449,96.13089986,114.8567673,147.6680354,127.0520727,427.5793047,431.4564709,521.8389532,470.6471794,375.5603578,641.733705,699.0167556,635.6301974
1095,Alabama,-7.5837392,0,29.0531242,11.85413649,114.4127697,134.7518661,160.8825936,143.8275197,369.5209381,431.5159894,454.6097199,434.3719646,316.3757169,591.6865348,648.7555764,584.417048
1099,Alabama,-1.007658268,0,21.94809273,9.509142158,10.4910876,23.62455433,43.18715907,30.66459008,475.1344371,494.1083583,514.4170594,500.7903993,366.8579171,581.6930111,490.3047619,516.3994706
1103,Alabama,-9.24372468,0,29.40460752,11.81354486,159.5084992,171.5027075,184.3132554,175.7146726,398.3742185,455.2140796,482.8166361,460.6526805,470.1465593,691.1058883,763.474217,696.9244201
1105,Alabama,1.45476966,0,26.02691214,11.58720501,76.07640206,91.5605908,113.4222932,99.33329721,514.0121697,463.2621445,549.9738816,507.2521532,479.2135558,655.7688106,695.4762507,652.4708414
1109,Alabama,-12.3713836,0,24.53976627,9.312647228,181.3314286,195.3342643,212.4424445,201.1956809,471.7610727,485.1532974,501.3672809,490.6941245,461.9694677,536.0372648,571.532916,542.9167488
1119,Alabama,-9.483605,0,25.0668822,9.882687847,49.11466,63.9277966,84.6598162,71.28371087,564.2954743,531.2210495,604.4262804,567.2126371,558.5889703,711.1425563,739.3649814,705.6229011
